Alias|Name|Freq
RB|Rural Borough|1
RC|Roman Catholic|1
Rd|Road|1
RD|Rural District|1
RDG|Ridge|1
Rec|Rectory|1
Recn|Recreation|1
Rems|Remains|1
Resr|Reservoir|1
RG|Ridge|1
RG|Rough grassland |1
RH|Road House|1
RH|Root of Hedge|1
RL|Roof Line|1
Rly|Railway|1
RO|Reference|1
RO|Retain Original|1
rp|Revision Point|1
RS|Rain Spout|1
RW|Row|1
Ry|Railway|1
SA|Salvation Army|1
Sanatm|Sanatorium|1
SB|Signal Box|1
Sc|Science|1
Sc|Scrub|1
SC|Stop Cock|1
Scat|Scattered|1
Sch|School|1
SD|Side|1
SD|Single Drain|1
Sd|Sound|1
SD|Strand|1
SD|Sun Dial|1
Sec|Secondary|1
SF|Side of Fence|1
SG|Sewer Grate|1
Sh|Sheep|1
SH|Summer House|1
Sk|Sketched|1
Sk|Stack|1
Sks|Sinks|1
SL|Signal Lamp|1
SL|Signal Light|1
Sl|Sluice|1
SM|Sloping Masonry|1
Smy|Smithy|1
SN|Scientific Network|1
SP|Sewer Pipe|1
SP|Signal Post|1
Sp|Spire|1
Sp|Spreads|1
SP|Spur|1
Spr|Spring|1
Sq|Square|1
SR|Side of River|1
SRS|Stairs|1
SS|Saints|1
SS|Single Stream|1
SSlip|Single Slip|1
St|Saint|1
ST|Spring Tides|1
ST|Stable|1
St|Stone|1
St|Street|1
Sta|Station|1
Staffs|Staffordshire|1
Std|Standard|1
Stn|Station|1
STPS|Steps|1
StrS|Stairs|1
STS|Steps|1
Suff|Suffolk|1
Sun|Sunday|1
Sur|Surface|1
SV|Spirit Vaults|1
SW|Sloping Wall|1
Sw|Switch|1
TB|Top of Bank|1
TC|Travelling Crane|1
TE|Terrace|1
Tech|Technical|1
Tel|Telephone|1
Ter|Terminus|1
Ter|Terrace|1
Terr|Terrace|1
Tert|Tertiary|1
TG|Toll Gate|1
TH|Tool House|1
TH|Town Hall|1
Tk|Tank|1
Tk|Track|1
TLH|Tool House|1
Toll|Toll Bridge or Gate|1
TP|Telegraph Pole|1
TP|Turnpike|1
Tr|Trough|1
tr|Trough|1
Trav|Traverse|1
TS|Traffic Signal|1
TWL|Top Water Level|1
Twr|Tower|1
UD|Urban District|1
UF|United Free|1
um|Unmade|1
Und|Undefined|1
Unit|Unitarian|1
Univ|University|1
UP|United Presbyterian|1
Upr|Upper|1
VA|Vale|1
VA|Vertical Angle|1
VA|Voluntary Assisted|1
VC|Valve Cover|1
VDP|Vehicle Detector Pad|1
VI|Vertical Interval|1
VI|Villas|1
Vic|Vicarage|1
VIL|Villas|1
VP|Vent Pipe|1
Vr|Ventilator|1
VT|Vault|1
VW|View|1
WB|Weighbridge|1
WB|Weighing Machine|1
WC|Water Column|1
Wes|Wesleyan|1
WF|Wharf|1
WF|Wharf|1
WH|Water House|1
WK|Walk|1
Wks|Works|1
WLK|Walk|1
WM|Water Main|1
WM|Weighing Machine|1
WM|Witness Mark|1
WMP|Warning & Monitoring Post|1
WN|Wire Nail|1
WP|Water Plug|1
Wr|Water|1
WS|Work Shop|1
WY|Way|1
XC|Cross Cut|1
Y|Yard|1
Yd|Yard|1
YH|Youth Hostel|1
